,count,mean,std,min,25%,50%,75%,max
distrust,43.0,0.20378527993023254,0.07228037409183423,0.072585188,0.150153494,0.20191232399999998,0.242644212,0.421267894
task,43.0,0.6240907811860463,0.07955264272565332,0.47761194,0.5611546970000001,0.629776021,0.696579788,0.74257116
bace,43.0,0.27287254248837206,0.07234175563599649,0.148148148,0.2109140425,0.256603774,0.33460295900000003,0.409383069
igb,43.0,0.14478479681395348,0.02396833219369604,0.092307692,0.126000126,0.144927536,0.162925715,0.207792208
sc,43.0,0.35149231346511634,0.0856700046019789,0.183574879,0.29040647249999996,0.36318408,0.42089230600000005,0.571514303
cc,43.0,0.5871818062325581,0.0376259767468979,0.453441296,0.5681202270000001,0.592149866,0.612566942,0.659202622
power,43.0,0.2762967272558139,0.03323651124249748,0.203125,0.25715285499999996,0.271999538,0.2916083915,0.359550562
