,count,mean,std,min,25%,50%,75%,max
distrust,23.0,0.140793373826087,0.04504931525127915,0.092150171,0.1047679825,0.124074074,0.174298102,0.247785433
task,23.0,0.6641789896956523,0.03388842498439796,0.613123772,0.6392139805,0.657335055,0.6838282925,0.7382787959999999
bace,23.0,0.33500185169565205,0.029555983983822923,0.289871848,0.3111002045,0.332763617,0.3555148055,0.40416645
igb,23.0,0.10586123447826085,0.017639929391332004,0.070175439,0.093255225,0.105471848,0.1185610025,0.137973719
sc,23.0,0.40072867195652173,0.05727641001839231,0.251926638,0.377609679,0.40161486799999996,0.43670637850000005,0.486855941
cc,23.0,0.5872923578695652,0.03157202180168813,0.528799379,0.562941288,0.590014327,0.6059099725,0.6609755429999999
power,23.0,0.23306186704347825,0.024319968081208825,0.19329087,0.2168072565,0.22547361300000002,0.243002396,0.295379538
