,count,mean,std,min,25%,50%,75%,max
distrust,130.0,0.18563844773846153,0.07068068596110616,0.072585188,0.1301003925,0.17632057,0.23046969225,0.421267894
task,130.0,0.636175684315385,0.07339910376936112,0.45112782,0.5907285459999999,0.6427757365,0.68367068325,0.888788427
bace,130.0,0.325103184776923,0.06650835597287857,0.148148148,0.29742927425,0.33626243,0.36885029125,0.477876106
igb,130.0,0.14405734962307684,0.03878655936765516,0.070175439,0.11869736775,0.136891102,0.16294193725,0.27218934899999997
sc,130.0,0.33940461619999995,0.09822274308015663,0.0,0.27138840775,0.35178982299999995,0.4106948415,0.583333333
cc,130.0,0.5695095264076925,0.04977561435563131,0.41588785,0.54500845275,0.573964092,0.6018996755,0.668831169
power,130.0,0.2815467786153846,0.043693123778804945,0.19329087,0.25352237925,0.2806184195,0.30726176825,0.38606403
