,count,mean,std,min,25%,50%,75%,max
distrust,561.0,0.18792668710695196,0.08491146445199138,0.007042254,0.125899281,0.17208966,0.232323232,0.572916667
task,561.0,0.6375268450766485,0.07708342144109027,0.24806201600000002,0.588675214,0.64796425,0.689361702,0.888788427
bace,561.0,0.32455093259714773,0.06943838219321241,0.075,0.295454545,0.334476844,0.372622511,0.505494505
igb,561.0,0.13269461486631023,0.04254986572310984,0.0,0.104770017,0.12837837800000002,0.155102041,0.333333333
sc,561.0,0.37228730281818184,0.09932594475134418,0.0,0.31683168300000003,0.38345864700000004,0.43820224700000004,0.689655172
cc,561.0,0.5796007602406421,0.047433024152059515,0.40625,0.5521235520000001,0.582329317,0.608511083,0.700214133
power,561.0,0.2650132609001781,0.047072722172933304,0.12121212099999999,0.234815618,0.261261261,0.291390728,0.44
