lastname,firstname,Ccode,Word Count,year,quarter,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Bush,GeorgeH.W.,2,238817,1992,2,0.534490055,0.228099873,0.220543687,0.465509945,0.536606009,0.546339399,0.056284384,0.164621244,0.100719424,0.028353788,0.10368176,0.502089952,0.241486931,0.158007357,0.283197507,0.955252711,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,296155,1992,3,0.427086518,0.155813716,0.182964792,0.572913482,0.560073372,0.512687252,0.053194742,0.147661266,0.11066952,0.043411801,0.13237542,0.482528263,0.212658445,0.171787703,0.295884215,0.94917073,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,206129,1992,4,0.423415086,0.14175536,0.204802308,0.576584914,0.518278575,0.535863026,0.043961129,0.131883387,0.109671448,0.051365109,0.1272559,0.544987147,0.248561635,0.20684319,0.284080452,0.941239893,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,12725,1993,1,0.756097561,0.306233062,0.5085465,0.243902439,0.243902439,0.756097561,0.024390244,0.097560976,0.089430894,0.008130081,0.024390244,0.558739255,0.251193887,0.227434914,0.26059322,0.940732003,GeorgeH.W. Bush
Bush,GeorgeW,2,191268,2001,1,0.687866109,0.305997211,0.311151555,0.312133891,0.456066946,0.621757322,0.060669456,0.161506276,0.069037657,0.020502092,0.066527197,0.62110905,0.328729472,0.189808654,0.330064908,0.937350824,GeorgeW Bush
Bush,GeorgeW,2,188891,2001,2,0.704339964,0.289330922,0.36732176,0.295660036,0.445750452,0.663652803,0.043851718,0.144665461,0.056509946,0.013110307,0.078209765,0.6148,0.3038,0.21705424,0.306711037,0.933427069,GeorgeW Bush
Bush,GeorgeW,2,16217,2001,3,0.679144385,0.279857398,0.352317767,0.320855615,0.459893048,0.652406417,0.037433155,0.14973262,0.064171123,0.016042781,0.080213904,0.418699187,0.182249322,0.144209796,0.275405007,0.9602839,GeorgeW Bush
Bush,GeorgeW,2,12697,2001,4,0.577464789,0.23943662,0.212061099,0.422535211,0.591549296,0.535211268,0.070422535,0.183098592,0.028169014,0.070422535,0.112676056,0.353319058,0.155603141,0.122211574,0.23316913,0.971504034,GeorgeW Bush
Bush,GeorgeW,2,271293,2002,1,0.633540373,0.249670619,0.319710972,0.366459627,0.471485037,0.630434783,0.044042914,0.14229249,0.063523433,0.026256352,0.093450028,0.481074001,0.219428072,0.165268376,0.316900778,0.947626323,GeorgeW Bush
Bush,GeorgeW,2,257180,2002,2,0.671256454,0.263434691,0.361433538,0.328743546,0.442340792,0.660929432,0.038439472,0.136259323,0.057372347,0.022088353,0.084911073,0.517435321,0.246250469,0.174087222,0.328929987,0.942737492,GeorgeW Bush
Bush,GeorgeW,2,305077,2002,3,0.652854512,0.23096992,0.407000956,0.347145488,0.376151013,0.694521179,0.029696133,0.102209945,0.065377532,0.02232965,0.085865562,0.466089109,0.212087459,0.156229781,0.349645847,0.945374906,GeorgeW Bush
Bush,GeorgeW,2,270652,2002,4,0.627090301,0.239409142,0.3436755,0.372909699,0.409698997,0.650222965,0.043478261,0.119843924,0.079431438,0.022017837,0.085005574,0.386633866,0.161632727,0.131887656,0.329023384,0.956605877,GeorgeW Bush
