lastname,firstname,Ccode,Word Count,year,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Bush,GeorgeW,2,934248,2005,0.642759961,0.252769679,0.33269811,0.357240039,0.462585034,0.639941691,0.042274052,0.139164237,0.065694849,0.02079689,0.09212828,0.511942467,0.248823142,0.15845076,0.277156786,0.956084296,GeorgeW Bush
Bush,GeorgeW,2,1143291,2006,0.575214218,0.216888818,0.283077906,0.424785782,0.486353539,0.6032212,0.047365916,0.137019994,0.072596001,0.033640114,0.106156776,0.410662397,0.188637846,0.133745696,0.272048349,0.963614704,GeorgeW Bush
Bush,GeorgeW,2,687640,2007,0.66378085,0.268294784,0.357750286,0.33621915,0.431321876,0.657578499,0.037343326,0.136968601,0.076624887,0.01279235,0.078692338,0.437935709,0.207284405,0.142916637,0.272547984,0.961048359,GeorgeW Bush
Bush,GeorgeW,2,106940,2008,0.679104478,0.275808458,0.34815034,0.320895522,0.404850746,0.652985075,0.058768657,0.127798507,0.069029851,0.016791045,0.074626866,0.512043072,0.259374705,0.153001745,0.232992828,0.964351691,GeorgeW Bush
Bush,GeorgeW,2,5821,2009,0.5,0.287878788,0.152066116,0.5,0.590909091,0.454545455,0.068181818,0.227272727,0.159090909,0.022727273,0.068181818,0.420454545,0.138257576,0.193052686,0.2,0.961389463,GeorgeW Bush
Carter,Jimmy,2,4741,1976,0.608695652,0.217391304,0.243478261,0.391304348,0.434782609,0.565217391,0.152173913,0.086956522,0.043478261,0.02173913,0.130434783,0.557522124,0.342182891,0.12488057,0.289308176,0.96387103,Jimmy Carter
Carter,Jimmy,2,586025,1977,0.537040837,0.23161639,0.23289166,0.462959163,0.509337164,0.557356864,0.0496614,0.161502155,0.109788631,0.028524523,0.093166427,0.441497152,0.21413073,0.140092617,0.283924722,0.960224243,Jimmy Carter
Carter,Jimmy,2,653645,1978,0.54146176,0.234921712,0.221352844,0.45853824,0.548075293,0.545531626,0.054773614,0.17042564,0.100559607,0.025097507,0.103612006,0.459107155,0.228887799,0.138992321,0.29242289,0.959355464,Jimmy Carter
Carter,Jimmy,2,518871,1979,0.524814732,0.234298974,0.201742319,0.475185268,0.563664945,0.526162138,0.059061307,0.177183921,0.106894229,0.026049854,0.104648552,0.448796444,0.230171377,0.12594949,0.271922325,0.965751522,Jimmy Carter
Carter,Jimmy,2,994870,1980,0.493456132,0.225117143,0.183774694,0.506543868,0.582888997,0.50618032,0.057561803,0.182985943,0.120092099,0.02472128,0.108458556,0.420219133,0.217490716,0.12297178,0.275305265,0.966145222,Jimmy Carter
Carter,Jimmy,2,45542,1981,0.560371517,0.293085655,0.182317476,0.439628483,0.749226006,0.476780186,0.046439628,0.256965944,0.095975232,0.00619195,0.117647059,0.482303956,0.305806153,0.123182346,0.183106576,0.977444502,Jimmy Carter
Cleveland,Grover,2,21883,1885,0.551724138,0.126436782,0.409274673,0.448275862,0.448275862,0.689655172,0.017241379,0.068965517,0.051724138,0.017241379,0.155172414,0.406844106,0.183776933,0.144298747,0.068476978,0.990118858,Grover Cleveland
Cleveland,Grover,2,15645,1886,0.666666667,0.305555556,0.331333333,0.333333333,0.433333333,0.633333333,0.033333333,0.166666667,0.1,0.016666667,0.05,0.440860215,0.207287933,0.156580722,0.097087379,0.984797988,Grover Cleveland
Cleveland,Grover,2,5437,1887,0.428571429,0.095238095,0.265306122,0.571428571,0.571428571,0.571428571,0,0.142857143,0,0.142857143,0.142857143,0.371727749,0.20069808,0.10370878,0.035353535,0.996333528,Grover Cleveland
Cleveland,Grover,2,13664,1888,0.862068966,0.425287356,0.375029727,0.137931034,0.482758621,0.655172414,0.068965517,0.206896552,0.034482759,0,0.034482759,0.29707113,0.114365411,0.112158401,0.057199211,0.993584628,Grover Cleveland
Cleveland,Grover,2,15183,1893,0.725490196,0.346405229,0.334717416,0.274509804,0.705882353,0.607843137,0,0.254901961,0.039215686,0,0.098039216,0.367816092,0.151340996,0.128022196,0.089005236,0.988605354,Grover Cleveland
Cleveland,Grover,2,16956,1894,0.771428571,0.295238095,0.496489796,0.228571429,0.457142857,0.742857143,0,0.142857143,0.028571429,0,0.085714286,0.319778189,0.153419593,0.116919786,0.060763889,0.992895499,Grover Cleveland
Cleveland,Grover,2,15128,1895,0.548387097,0.322580645,0.208324662,0.451612903,0.709677419,0.483870968,0,0.290322581,0.129032258,0.032258065,0.064516129,0.362934363,0.196911197,0.109852268,0.056466302,0.993797049,Grover Cleveland
Cleveland,Grover,2,16379,1896,0.657142857,0.266666667,0.30644898,0.342857143,0.685714286,0.6,0.028571429,0.2,0.028571429,0,0.142857143,0.325925926,0.154320988,0.109761317,0.060869565,0.993318876,Grover Cleveland
Clinton,William,2,665146,1993,0.542087542,0.207182941,0.261046356,0.457912458,0.463636364,0.585521886,0.058922559,0.126599327,0.101515152,0.022222222,0.105218855,0.472728444,0.213922339,0.149611087,0.276678001,0.958605904,William Clinton
Clinton,William,2,608970,1994,0.593522562,0.246785541,0.283311642,0.406477438,0.4643377,0.601710335,0.049126638,0.145924309,0.095342067,0.021652111,0.086244541,0.500104232,0.225951405,0.175886001,0.276361442,0.951391891,William Clinton
Clinton,William,2,340337,1995,0.495363866,0.18413412,0.244317092,0.504636134,0.49227311,0.569261028,0.046923293,0.131497612,0.114076988,0.023602135,0.114638944,0.421698113,0.189583333,0.144486695,0.29562256,0.957286473,William Clinton
Clinton,William,2,662901,1996,0.578947368,0.230008723,0.295901425,0.421052632,0.486478628,0.609770282,0.035475429,0.144227973,0.096685083,0.014829892,0.099011341,0.477286641,0.213399453,0.169891476,0.296312252,0.949659074,William Clinton
Clinton,William,2,810777,1997,0.60830123,0.249906798,0.290587322,0.39169877,0.490866161,0.606437182,0.046352678,0.151360756,0.082266683,0.019510377,0.094072325,0.53311818,0.266055359,0.171744803,0.291896402,0.94986831,William Clinton
Clinton,William,2,1230128,1998,0.652814308,0.272517389,0.325921285,0.347185692,0.464843065,0.633175522,0.043222865,0.150008767,0.077503069,0.013677012,0.082412765,0.502709169,0.25567049,0.158957877,0.28638144,0.954477414,William Clinton
Clinton,William,2,1390170,1999,0.58030463,0.236716433,0.276610049,0.41969537,0.503393153,0.59425426,0.045242045,0.15065601,0.094178857,0.014628261,0.101040567,0.476199389,0.234491651,0.152153935,0.292630185,0.955475166,William Clinton
Clinton,William,2,1718306,2000,0.589961938,0.234307464,0.288298417,0.410038062,0.496355074,0.60479969,0.044255209,0.145926069,0.084123605,0.018643958,0.102251468,0.457011876,0.215829781,0.149518428,0.293568425,0.95610611,William Clinton
Clinton,William,2,87715,2001,0.73871734,0.313539192,0.395572131,0.26128266,0.448931116,0.680522565,0.03087886,0.157957245,0.052256532,0.011876485,0.066508314,0.510251904,0.254442492,0.171010715,0.330325618,0.94351078,William Clinton
Coolidge,Calvin,2,6772,1923,0.756097561,0.382113821,0.294705532,0.243902439,0.634146341,0.585365854,0.048780488,0.243902439,0.048780488,0,0.073170732,0.525252525,0.296296296,0.146985002,0.171548117,0.974785,Calvin Coolidge
Coolidge,Calvin,2,48997,1924,0.737089202,0.419405321,0.247874099,0.262910798,0.657276995,0.530516432,0.051643192,0.286384977,0.070422535,0.018779343,0.042253521,0.405986186,0.221540036,0.131237966,0.140501319,0.981560893,Calvin Coolidge
Coolidge,Calvin,2,57341,1925,0.578431373,0.248366013,0.239850058,0.421568627,0.833333333,0.524509804,0.019607843,0.245098039,0.039215686,0,0.171568627,0.382559775,0.219643694,0.117191571,0.125461255,0.985296999,Calvin Coolidge
Coolidge,Calvin,2,61210,1926,0.483253589,0.207336523,0.196556855,0.516746411,0.698564593,0.507177033,0.023923445,0.210526316,0.090909091,0.028708134,0.138755981,0.470507545,0.274348422,0.137952096,0.125374925,0.982704266,Calvin Coolidge
Coolidge,Calvin,2,52919,1927,0.39869281,0.230936819,0.142996283,0.60130719,0.901960784,0.392156863,0.006535948,0.300653595,0.137254902,0.013071895,0.150326797,0.443267776,0.241805345,0.140592464,0.103728814,0.985416511,Calvin Coolidge
Coolidge,Calvin,2,54153,1928,0.348837209,0.124031008,0.160600324,0.651162791,0.918604651,0.430232558,0.011627907,0.23255814,0.098837209,0,0.226744186,0.420718816,0.240310078,0.129818665,0.108108108,0.98596555,Calvin Coolidge
Coolidge,Calvin,2,6458,1929,0.25,0,0.2125,0.75,0.75,0.5,0,0.125,0.125,0,0.25,0.449275362,0.297101449,0.135727788,0.103896104,0.985898412,Calvin Coolidge
