lastname,firstname,Ccode,Word Count,year,month,distrust,task,bace,igb,sc,cc,power,name
Asquith,Herbert,200,15582,1914,11,0.284916201,0.575280899,0.377142857,0.090497738,0.427884615,0.568922306,0.226744186,Herbert Asquith
Asquith,Herbert,200,10184,1914,2,0.316176471,0.592592593,0.386597938,0.12295082,0.37283237,0.587421384,0.168044077,Herbert Asquith
Asquith,Herbert,200,9794,1914,3,0.130769231,0.593869732,0.357976654,0.081967213,0.394736842,0.583769634,0.176,Herbert Asquith
Asquith,Herbert,200,21074,1914,4,0.224358974,0.662068966,0.345070423,0.125,0.434965035,0.595717884,0.227272727,Herbert Asquith
Asquith,Herbert,200,11166,1914,5,0.124444444,0.722488038,0.38372093,0.081818182,0.429648241,0.604712042,0.209638554,Herbert Asquith
Asquith,Herbert,200,17746,1914,7,0.11884058,0.708542714,0.422222222,0.085714286,0.413427562,0.616541353,0.230088496,Herbert Asquith
Asquith,Herbert,200,8469,1914,8,0.159509202,0.585526316,0.31884058,0.147058824,0.349282297,0.523809524,0.228782288,Herbert Asquith
Asquith,Herbert,200,9853,1914,9,0.116751269,0.589552239,0.373287671,0.054054054,0.419087137,0.602721088,0.190812721,Herbert Asquith
Asquith,Herbert,200,5978,1915,12,0.159090909,0.596273292,0.325471698,0.136986301,0.411483254,0.554298643,0.258215962,Herbert Asquith
Asquith,Herbert,200,13792,1915,2,0.192307692,0.691056911,0.427860697,0.051612903,0.471875,0.597560976,0.236641221,Herbert Asquith
Asquith,Herbert,200,12116,1915,3,0.196319018,0.52,0.380952381,0.087248322,0.423791822,0.611044418,0.230769231,Herbert Asquith
Asquith,Herbert,200,8039,1915,5,0.228346457,0.668049793,0.360869565,0.080645161,0.382075472,0.555357143,0.247747748,Herbert Asquith
Asquith,Herbert,200,10935,1915,6,0.146341463,0.649275362,0.329608939,0.086538462,0.387811634,0.597402597,0.253561254,Herbert Asquith
Asquith,Herbert,200,15015,1915,7,0.136563877,0.654589372,0.354124748,0.129032258,0.368298368,0.617977528,0.208067941,Herbert Asquith
Asquith,Herbert,200,7817,1915,9,0.186813187,0.577464789,0.381132075,0.102040816,0.407114625,0.618705036,0.203846154,Herbert Asquith
Asquith,Herbert,200,9415,1916,1,0.165413534,0.590625,0.372611465,0.105882353,0.335483871,0.602857143,0.246794872,Herbert Asquith
Asquith,Herbert,200,8075,1916,10,0.244047619,0.653061224,0.345833333,0.070707071,0.397260274,0.580299786,0.259574468,Herbert Asquith
Asquith,Herbert,200,5310,1916,11,0.173913043,0.757894737,0.326203209,0.03030303,0.311627907,0.661333333,0.224137931,Herbert Asquith
Asquith,Herbert,200,13150,1916,2,0.192893401,0.613259669,0.404145078,0.117318436,0.399408284,0.603603604,0.204188482,Herbert Asquith
Asquith,Herbert,200,21977,1916,5,0.178438662,0.615803815,0.375675676,0.162650602,0.378690629,0.576695194,0.215384615,Herbert Asquith
Asquith,Herbert,200,6018,1916,6,0.066666667,0.643564356,0.346820809,0.236842105,0.387755102,0.6,0.266666667,Herbert Asquith
Asquith,Herbert,200,32393,1916,7,0.164383562,0.701446281,0.343465046,0.136929461,0.416912488,0.580658784,0.231974922,Herbert Asquith
Asquith,Herbert,200,20212,1916,8,0.145985401,0.701754386,0.37460815,0.092664093,0.417279412,0.633474576,0.261788618,Herbert Asquith
Attlee,Clement,200,10450,1945,10,0.15,0.663013699,0.331877729,0.111111111,0.394366197,0.63255814,0.265765766,Clement Attlee
Attlee,Clement,200,4941,1945,11,0.056179775,0.553571429,0.375,0.102564103,0.4,0.565625,0.233128834,Clement Attlee
Attlee,Clement,200,11511,1945,12,0.128654971,0.72,0.278301887,0.142857143,0.443113772,0.510373444,0.235,Clement Attlee
Attlee,Clement,200,15829,1945,8,0.121212121,0.634693878,0.330337079,0.14,0.516129032,0.537694013,0.242424242,Clement Attlee
Attlee,Clement,200,18505,1946,10,0.089058524,0.667741935,0.296650718,0.138095238,0.445121951,0.568716094,0.248780488,Clement Attlee
Attlee,Clement,200,21895,1946,11,0.065527066,0.642760487,0.359398496,0.12173913,0.384810127,0.575177305,0.251177394,Clement Attlee
Attlee,Clement,200,7246,1946,12,0.126984127,0.730769231,0.322981366,0.055555556,0.428571429,0.633093525,0.128205128,Clement Attlee
Attlee,Clement,200,10712,1946,2,0.103658537,0.725067385,0.318309859,0.089622642,0.511013216,0.554166667,0.258160237,Clement Attlee
Attlee,Clement,200,9721,1946,3,0.124183007,0.685878963,0.404129794,0.151785714,0.448780488,0.545736434,0.262048193,Clement Attlee
Attlee,Clement,200,10139,1946,4,0.073446328,0.6875,0.390681004,0.122994652,0.431818182,0.540697674,0.241509434,Clement Attlee
Attlee,Clement,200,4052,1946,6,0.049382716,0.602836879,0.270676692,0.208333333,0.617021277,0.587837838,0.2421875,Clement Attlee
Attlee,Clement,200,4393,1947,1,0.1,0.662337662,0.300884956,0.076923077,0.315789474,0.575,0.2,Clement Attlee
Attlee,Clement,200,9316,1947,10,0.121794872,0.636065574,0.369426752,0.11299435,0.414285714,0.509863429,0.296052632,Clement Attlee
Attlee,Clement,200,8568,1947,11,0.071428571,0.616161616,0.374331551,0.12195122,0.471428571,0.598802395,0.268156425,Clement Attlee
Attlee,Clement,200,11893,1947,2,0.064748201,0.736842105,0.304147465,0.083333333,0.351851852,0.621099554,0.170731707,Clement Attlee
Attlee,Clement,200,15380,1947,3,0.080508475,0.706122449,0.29258517,0.119047619,0.434402332,0.527944112,0.247881356,Clement Attlee
Attlee,Clement,200,6187,1947,6,0.02247191,0.707964602,0.319587629,0.05,0.422680412,0.583554377,0.147368421,Clement Attlee
Attlee,Clement,200,14552,1947,7,0.075528701,0.631355932,0.3,0.12173913,0.483193277,0.568965517,0.210714286,Clement Attlee
Attlee,Clement,200,12529,1947,8,0.111111111,0.742424242,0.381546135,0.132596685,0.440217391,0.56443299,0.275949367,Clement Attlee
Attlee,Clement,200,4159,1948,1,0.137614679,0.621212121,0.366666667,0.202247191,0.338028169,0.561594203,0.298245614,Clement Attlee
Attlee,Clement,200,5340,1948,10,0.147727273,0.75,0.282442748,0.115942029,0.483870968,0.571005917,0.18699187,Clement Attlee
Attlee,Clement,200,7694,1948,2,0.123287671,0.704626335,0.336956522,0.083333333,0.392307692,0.611806798,0.193370166,Clement Attlee
Attlee,Clement,200,9292,1948,3,0.160583942,0.555248619,0.352380952,0.120879121,0.417085427,0.58692422,0.269480519,Clement Attlee
Attlee,Clement,200,4865,1948,6,0.104477612,0.836065574,0.428571429,0,0.394495413,0.550143266,0.157894737,Clement Attlee
Attlee,Clement,200,7570,1949,10,0.092783505,0.666666667,0.351351351,0.135135135,0.423076923,0.532399299,0.18957346,Clement Attlee
Attlee,Clement,200,4415,1949,2,0.122807018,0.780898876,0.30952381,0.111111111,0.511111111,0.595015576,0.160493827,Clement Attlee
Attlee,Clement,200,4961,1949,3,0.106666667,0.742857143,0.321637427,0.127906977,0.414634146,0.557457213,0.218181818,Clement Attlee
Attlee,Clement,200,6627,1949,4,0.085106383,0.732984293,0.360248447,0.114754098,0.535433071,0.579345088,0.219354839,Clement Attlee
Attlee,Clement,200,4196,1949,5,0.102040816,0.614814815,0.368794326,0.063492063,0.535353535,0.595959596,0.264705882,Clement Attlee
Attlee,Clement,200,5893,1949,7,0.186813187,0.780104712,0.272108844,0.098591549,0.35,0.484107579,0.174825175,Clement Attlee
Attlee,Clement,200,7934,1950,10,0.053846154,0.708502024,0.264705882,0.098039216,0.349206349,0.547826087,0.223880597,Clement Attlee
Attlee,Clement,200,4321,1950,11,0.081967213,0.655844156,0.330769231,0.128571429,0.447619048,0.566101695,0.248062016,Clement Attlee
Attlee,Clement,200,6489,1950,12,0.074534161,0.666666667,0.305699482,0.151724138,0.381294964,0.567493113,0.220430108,Clement Attlee
Attlee,Clement,200,12320,1950,3,0.134408602,0.637096774,0.32808399,0.12244898,0.565055762,0.520089286,0.211956522,Clement Attlee
Attlee,Clement,200,10759,1950,6,0.07755102,0.712082262,0.323624595,0.136752137,0.485596708,0.516304348,0.224137931,Clement Attlee
Attlee,Clement,200,15135,1950,7,0.121875,0.651908397,0.332335329,0.102564103,0.393728223,0.562691131,0.217665615,Clement Attlee
Attlee,Clement,200,9736,1950,9,0.179487179,0.627218935,0.342105263,0.081395349,0.420382166,0.594871795,0.25732899,Clement Attlee
Attlee,Clement,200,4682,1951,1,0.132352941,0.746031746,0.425373134,0.125,0.471910112,0.598006645,0.315789474,Clement Attlee
Attlee,Clement,200,11467,1951,2,0.099173554,0.721311475,0.28525641,0.082417582,0.512562814,0.562834225,0.206557377,Clement Attlee
Attlee,Clement,200,4026,1951,6,0.138888889,0.766666667,0.272727273,0.131578947,0.544303797,0.563758389,0.239583333,Clement Attlee
Attlee,Clement,200,5392,1951,7,0.078431373,0.76300578,0.327683616,0.057692308,0.526785714,0.598445596,0.255813953,Clement Attlee
Baldwin,Stanley,200,15984,1923,7,0.107279693,0.69771529,0.264033264,0.114427861,0.485933504,0.621129326,0.21888412,Stanley Baldwin
Baldwin,Stanley,200,7256,1924,1,0.130841121,0.675105485,0.342629482,0.099173554,0.336538462,0.606227106,0.197530864,Stanley Baldwin
Baldwin,Stanley,200,5454,1925,11,0.047058824,0.75,0.334975369,0.115384615,0.427135678,0.63060686,0.292307692,Stanley Baldwin
Baldwin,Stanley,200,17338,1925,12,0.085987261,0.717829457,0.34086629,0.120689655,0.409001957,0.615194055,0.219230769,Stanley Baldwin
Baldwin,Stanley,200,11793,1925,3,0.101010101,0.611398964,0.314136126,0.13986014,0.417142857,0.622401848,0.220994475,Stanley Baldwin
Baldwin,Stanley,200,10252,1925,6,0.067164179,0.640718563,0.334254144,0.068376068,0.436137072,0.629826897,0.240687679,Stanley Baldwin
Baldwin,Stanley,200,4143,1925,7,0.059701493,0.709459459,0.257309942,0.05,0.481675393,0.615131579,0.242424242,Stanley Baldwin
Baldwin,Stanley,200,5725,1925,8,0.144927536,0.653153153,0.365079365,0.108108108,0.391534392,0.585480094,0.245901639,Stanley Baldwin
Baldwin,Stanley,200,6561,1926,12,0.171779141,0.6,0.326633166,0.1,0.355670103,0.586374696,0.215384615,Stanley Baldwin
Baldwin,Stanley,200,14272,1926,2,0.063291139,0.656746032,0.337278107,0.096,0.415533981,0.589189189,0.243852459,Stanley Baldwin
Baldwin,Stanley,200,12344,1926,3,0.071729958,0.671428571,0.331632653,0.082568807,0.448818898,0.591397849,0.263157895,Stanley Baldwin
Baldwin,Stanley,200,13974,1926,5,0.155,0.710891089,0.340425532,0.081481481,0.361305361,0.59650924,0.220264317,Stanley Baldwin
Baldwin,Stanley,200,13691,1926,7,0.106666667,0.747191011,0.356164384,0.076086957,0.471299094,0.640776699,0.219653179,Stanley Baldwin
Baldwin,Stanley,200,7454,1926,9,0.107142857,0.780392157,0.269035533,0.058823529,0.48502994,0.631578947,0.135416667,Stanley Baldwin
Baldwin,Stanley,200,7047,1927,11,0.059602649,0.77992278,0.426778243,0.055555556,0.367256637,0.607214429,0.225663717,Stanley Baldwin
Baldwin,Stanley,200,11524,1927,12,0.082304527,0.681114551,0.367857143,0.064516129,0.454849498,0.632183908,0.238095238,Stanley Baldwin
Baldwin,Stanley,200,6240,1927,2,0.1,0.706976744,0.369318182,0.082191781,0.464285714,0.629711752,0.195266272,Stanley Baldwin
Baldwin,Stanley,200,7656,1927,3,0.158273381,0.681222707,0.333333333,0.076923077,0.493902439,0.557956778,0.2375,Stanley Baldwin
Baldwin,Stanley,200,10385,1927,5,0.117391304,0.685430464,0.4,0.112359551,0.471223022,0.606927711,0.234693878,Stanley Baldwin
Baldwin,Stanley,200,5882,1927,7,0.12173913,0.777251185,0.333333333,0.073170732,0.393333333,0.626033058,0.198717949,Stanley Baldwin
Baldwin,Stanley,200,14250,1928,11,0.141843972,0.625514403,0.375,0.088757396,0.481770833,0.587906977,0.191536748,Stanley Baldwin
Baldwin,Stanley,200,7637,1928,12,0.098039216,0.625,0.356164384,0.101694915,0.502793296,0.627906977,0.231884058,Stanley Baldwin
Baldwin,Stanley,200,19039,1928,3,0.115942029,0.678678679,0.323590814,0.058064516,0.446555819,0.59293524,0.210065646,Stanley Baldwin
Baldwin,Stanley,200,6855,1928,6,0.06870229,0.546296296,0.319148936,0.078431373,0.43956044,0.618686869,0.208791209,Stanley Baldwin
Baldwin,Stanley,200,18795,1935,12,0.105839416,0.577586207,0.344984802,0.084337349,0.42047532,0.575669804,0.231974922,Stanley Baldwin
Baldwin,Stanley,200,13516,1935,7,0.06614786,0.686695279,0.298474946,0.114457831,0.450402145,0.592213115,0.256235828,Stanley Baldwin
Baldwin,Stanley,200,4810,1936,10,0.186813187,0.647058824,0.34591195,0.164383562,0.5,0.583081571,0.156862745,Stanley Baldwin
Baldwin,Stanley,200,14590,1936,11,0.090163934,0.776556777,0.316901408,0.078431373,0.353221957,0.589652096,0.235872236,Stanley Baldwin
Baldwin,Stanley,200,7960,1936,12,0.1484375,0.556338028,0.418006431,0.154929577,0.361563518,0.605009634,0.217105263,Stanley Baldwin
Baldwin,Stanley,200,12506,1936,3,0.193069307,0.665948276,0.322077922,0.091463415,0.471810089,0.610932476,0.197860963,Stanley Baldwin
Baldwin,Stanley,200,9538,1936,4,0.071428571,0.707520891,0.265682657,0.117647059,0.449122807,0.644204852,0.213740458,Stanley Baldwin
Baldwin,Stanley,200,11109,1936,5,0.091286307,0.715365239,0.280864198,0.08988764,0.422580645,0.61548913,0.251677852,Stanley Baldwin
Baldwin,Stanley,200,11710,1936,6,0.2375,0.58968059,0.316666667,0.042857143,0.427055703,0.588865096,0.209359606,Stanley Baldwin
Baldwin,Stanley,200,5424,1936,7,0.03030303,0.740740741,0.3,0.022222222,0.362162162,0.583783784,0.24852071,Stanley Baldwin
Baldwin,Stanley,200,4990,1937,1,0.166666667,0.591623037,0.395604396,0.127659574,0.461077844,0.605479452,0.279329609,Stanley Baldwin
Baldwin,Stanley,200,7692,1937,2,0.096296296,0.673076923,0.378091873,0.107526882,0.44015444,0.613461538,0.235074627,Stanley Baldwin
Baldwin,Stanley,200,9137,1937,3,0.121621622,0.739520958,0.298755187,0.101265823,0.48019802,0.62037037,0.284482759,Stanley Baldwin
Baldwin,Stanley,200,6804,1937,4,0.096774194,0.69527897,0.31640625,0.121212121,0.414634146,0.631192661,0.199186992,Stanley Baldwin
Baldwin,Stanley,200,4036,1937,5,0.203703704,0.464285714,0.298245614,0.085106383,0.410404624,0.590062112,0.193939394,Stanley Baldwin
Blair,Tony,200,6451,1997,10,0.076335878,0.708955224,0.366197183,0.08,0.431372549,0.503816794,0.29047619,Tony Blair
Blair,Tony,200,14034,1997,11,0.093939394,0.645640074,0.425661914,0.082352941,0.366141732,0.551762115,0.250521921,Tony Blair
Blair,Tony,200,14567,1997,12,0.07,0.667250438,0.457081545,0.116991643,0.349775785,0.521611002,0.304250559,Tony Blair
Blair,Tony,200,8985,1997,5,0.147928994,0.574923547,0.427672956,0.121212121,0.337016575,0.510597303,0.254071661,Tony Blair
Blair,Tony,200,26944,1997,6,0.128158845,0.686310063,0.446339017,0.139240506,0.366412214,0.529909707,0.292227979,Tony Blair
Blair,Tony,200,16613,1997,7,0.074380165,0.647342995,0.441786284,0.12037037,0.325966851,0.5,0.259016393,Tony Blair
Blair,Tony,200,5903,1997,9,0.181102362,0.52,0.441666667,0.09569378,0.369047619,0.575757576,0.333333333,Tony Blair
Blair,Tony,200,23542,1998,1,0.301298701,0.583150985,0.374301676,0.105032823,0.352380952,0.501303781,0.276504298,Tony Blair
Blair,Tony,200,5120,1998,10,0.101449275,0.671875,0.424731183,0.102941176,0.364583333,0.529585799,0.213114754,Tony Blair
Blair,Tony,200,19887,1998,11,0.110894942,0.642135642,0.408099688,0.08997955,0.335526316,0.484552846,0.276357827,Tony Blair
Blair,Tony,200,18600,1998,12,0.088652482,0.706684857,0.392961877,0.117647059,0.392156863,0.493944637,0.289026275,Tony Blair
