lastname,firstname,Ccode,Word Count,year,month,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Bush,GeorgeH.W.,2,84918,1990,10,0.440308087,0.11724433,0.291877774,0.559691913,0.431322208,0.607188703,0.028241335,0.084724005,0.124518614,0.024390244,0.130937099,0.418983701,0.154202621,0.187911374,0.271902269,0.948906471,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,85362,1990,11,0.535087719,0.167032164,0.306189404,0.464912281,0.456140351,0.621710526,0.04495614,0.100877193,0.078947368,0.026315789,0.127192982,0.459097005,0.176426762,0.188400072,0.289615751,0.945436372,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,42143,1990,12,0.630252101,0.233426704,0.345451122,0.369747899,0.49859944,0.647058824,0.028011204,0.140056022,0.056022409,0.019607843,0.109243697,0.512727273,0.239393939,0.175534545,0.245024022,0.95698982,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,58589,1990,2,0.557003257,0.186210641,0.315133317,0.442996743,0.504885993,0.623778502,0.035830619,0.118892508,0.083061889,0.004885993,0.133550489,0.591637631,0.277584204,0.216177348,0.29965837,0.935220648,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,58666,1990,3,0.563884157,0.199318569,0.296853751,0.436115843,0.490630324,0.613287905,0.04088586,0.127768313,0.073253833,0.02725724,0.117546848,0.552179657,0.234918538,0.217192596,0.279390766,0.939318394,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,69513,1990,4,0.54,0.163333333,0.344334694,0.46,0.44,0.647142857,0.031428571,0.091428571,0.094285714,0.007142857,0.128571429,0.575656058,0.272473479,0.214058755,0.281011642,0.939846998,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,60798,1990,5,0.627586207,0.229310345,0.351158145,0.372413793,0.451724138,0.653448276,0.039655172,0.120689655,0.070689655,0.010344828,0.105172414,0.56703567,0.268757688,0.213162493,0.262919311,0.943955464,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,54240,1990,6,0.60296846,0.207173779,0.368081481,0.39703154,0.385899814,0.667903525,0.037105751,0.096474954,0.083487941,0.018552876,0.096474954,0.604197901,0.292103948,0.226017276,0.287773625,0.934958189,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,49578,1990,7,0.604651163,0.215116279,0.360591311,0.395348837,0.42248062,0.660852713,0.029069767,0.112403101,0.083333333,0.015503876,0.098837209,0.57398374,0.27100271,0.208766211,0.295532646,0.938302769,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,38677,1990,8,0.564179104,0.20199005,0.315959902,0.435820896,0.459701493,0.626865672,0.035820896,0.119402985,0.095522388,0.011940299,0.110447761,0.410628019,0.150080515,0.181709165,0.244525547,0.955567467,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,64906,1990,9,0.552495697,0.191049914,0.331029355,0.447504303,0.399311532,0.640275387,0.034423408,0.101549053,0.104991394,0.020654045,0.098106713,0.50431566,0.207768187,0.206538335,0.263731276,0.945529382,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,28079,1991,1,0.399141631,0.121602289,0.215310652,0.600858369,0.506437768,0.545064378,0.021459227,0.13304721,0.098712446,0.081545064,0.120171674,0.35501355,0.116079494,0.144036839,0.239958805,0.965437092,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,60296,1991,10,0.597222222,0.231481481,0.313816551,0.402777778,0.465277778,0.625,0.039930556,0.133680556,0.090277778,0.012152778,0.098958333,0.538374076,0.245594088,0.205830229,0.246680942,0.949225605,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,64689,1991,11,0.499202552,0.196172249,0.22670879,0.500797448,0.494417863,0.555023923,0.054226475,0.140350877,0.111642743,0.031897927,0.106858054,0.437695679,0.18326028,0.165154138,0.28192446,0.953439009,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,60419,1991,12,0.55234657,0.1811071,0.281390348,0.44765343,0.534296029,0.599277978,0.050541516,0.126353791,0.05234657,0.030685921,0.140794224,0.567494963,0.265502574,0.198669987,0.271169848,0.94612669,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,38380,1991,2,0.578313253,0.235943775,0.254659602,0.421686747,0.457831325,0.581325301,0.057228916,0.15060241,0.060240964,0.072289157,0.078313253,0.511400651,0.229460731,0.161509052,0.264964086,0.957205902,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,50509,1991,3,0.575,0.211666667,0.29902,0.425,0.435,0.6175,0.0525,0.1175,0.085,0.0275,0.1,0.529868115,0.229376778,0.215674313,0.236826525,0.948922602,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,50567,1991,4,0.646428571,0.263095238,0.310022959,0.353571429,0.435714286,0.625,0.0625,0.135714286,0.067857143,0.026785714,0.082142857,0.476608187,0.211988304,0.161924182,0.290456432,0.95296808,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,53900,1991,5,0.502572899,0.183533448,0.273551071,0.497427101,0.452830189,0.59348199,0.036020583,0.121783877,0.121783877,0.022298456,0.104631218,0.514415781,0.224329793,0.19529337,0.306680694,0.940107294,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,61513,1991,6,0.563884157,0.215218626,0.298044804,0.436115843,0.490630324,0.611584327,0.030664395,0.139693356,0.095400341,0.017035775,0.105621806,0.524691358,0.230452675,0.209394604,0.265971908,0.944306918,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,82679,1991,7,0.642023346,0.248162559,0.347268442,0.357976654,0.438391699,0.651102464,0.04150454,0.128404669,0.073929961,0.014267185,0.09079118,0.576505429,0.2668641,0.220539502,0.275652485,0.939207738,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,42841,1991,8,0.594059406,0.218646865,0.345975885,0.405940594,0.366336634,0.650990099,0.04950495,0.096534653,0.108910891,0.007425743,0.086633663,0.532658694,0.233670653,0.217081017,0.270959088,0.941179926,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,62497,1991,9,0.588815789,0.220394737,0.312865738,0.411184211,0.467105263,0.625,0.041118421,0.128289474,0.085526316,0.014802632,0.105263158,0.588086185,0.286649768,0.212071882,0.278133577,0.941015689,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,84216,1992,1,0.565600882,0.22124219,0.277388048,0.434399118,0.42337376,0.600882029,0.057331863,0.124586549,0.095920617,0.034178611,0.087100331,0.519179304,0.237882843,0.183856169,0.288027945,0.947044285,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,166713,1992,10,0.396269079,0.129451668,0.191529517,0.603730921,0.54267948,0.521198417,0.041266252,0.13566987,0.117015263,0.049180328,0.13566987,0.550412466,0.256339749,0.204683852,0.288439589,0.940961074,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,22666,1992,11,0.449541284,0.120795107,0.245114048,0.550458716,0.366972477,0.577981651,0.068807339,0.077981651,0.068807339,0.100917431,0.105504587,0.51552795,0.209627329,0.219856487,0.252900232,0.944398243,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,16750,1992,12,0.666666667,0.293103448,0.32738803,0.333333333,0.459770115,0.632183908,0.040229885,0.16091954,0.086206897,0.011494253,0.068965517,0.534246575,0.228310502,0.214361669,0.284313725,0.939054035,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,78369,1992,2,0.346448087,0.088888889,0.166116635,0.653551913,0.583606557,0.493989071,0.054644809,0.124590164,0.110382514,0.049180328,0.167213115,0.453918186,0.190734352,0.164040778,0.31080163,0.949015859,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,79757,1992,3,0.420479303,0.167392883,0.17166332,0.579520697,0.564270153,0.5,0.047930283,0.162309368,0.118736383,0.051198257,0.119825708,0.438016529,0.196078431,0.146478971,0.308571429,0.954800775,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,71455,1992,4,0.499263623,0.22778596,0.188856523,0.500736377,0.571428571,0.512518409,0.053019146,0.184094256,0.114874816,0.033873343,0.101620029,0.504034427,0.261610185,0.142977435,0.267533491,0.961748748,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,92633,1992,5,0.577167019,0.247357294,0.248919899,0.422832981,0.509513742,0.571881607,0.05602537,0.160676533,0.093023256,0.024312896,0.094080338,0.540156035,0.26801285,0.171252481,0.30272,0.948158449,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,74729,1992,6,0.512195122,0.203703704,0.217031309,0.487804878,0.539295393,0.544715447,0.059620596,0.151761518,0.097560976,0.028455285,0.117886179,0.457539887,0.192485847,0.160877388,0.275270421,0.955715213,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,66434,1992,7,0.558173785,0.239567992,0.248715841,0.441826215,0.54197349,0.568483063,0.036818851,0.173784978,0.094256259,0.029455081,0.097201767,0.522699387,0.224335378,0.196939892,0.294066696,0.942086537,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,80172,1992,8,0.389247312,0.141935484,0.138153313,0.610752688,0.602150538,0.466666667,0.068817204,0.159139785,0.096774194,0.066666667,0.141935484,0.445988346,0.19468101,0.167393484,0.294210693,0.950751047,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,149549,1992,9,0.394705174,0.129362214,0.187012299,0.605294826,0.543922984,0.515643803,0.051143201,0.130565584,0.125150421,0.036101083,0.141395909,0.486617385,0.218030419,0.165063906,0.297582811,0.950879819,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,12725,1993,1,0.756097561,0.306233062,0.5085465,0.243902439,0.243902439,0.756097561,0.024390244,0.097560976,0.089430894,0.008130081,0.024390244,0.558739255,0.251193887,0.227434914,0.26059322,0.940732003,GeorgeH.W. Bush
Bush,GeorgeW,2,16854,2001,1,0.669230769,0.293589744,0.321538462,0.330769231,0.315384615,0.634615385,0.076923077,0.123076923,0.088461538,0.042307692,0.034615385,0.597189696,0.296643247,0.207415167,0.37845706,0.921502266,GeorgeW Bush
