lastname,firstname,Ccode,Word Count,year,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Bhutto,Zulfikar,770,9377,1971,0.209302326,0.046511628,0.158247701,0.790697674,0.465116279,0.476744186,0,0.127906977,0.174418605,0.11627907,0.104651163,0.122362869,-0.043600563,0.164108316,0.26625387,0.956305526,Zulfikar Bhutto
Bhutto,Zulfikar,770,7420,1973,0.581395349,0.248062016,0.20822066,0.418604651,0.558139535,0.534883721,0.093023256,0.162790698,0.069767442,0.023255814,0.11627907,0.346153846,0.131410256,0.154308432,0.171314741,0.973564691,Zulfikar Bhutto
Bierut,Boleslaw,290,21426,1950,0.428571429,0.444444444,0.210884354,0.571428571,0.761904762,0.142857143,0.047619048,0.523809524,0.19047619,0,0.095238095,0.425605536,0.281430219,0.087309778,0.067741935,0.994085467,Boleslaw Bierut
Blair,Tony,200,93497,1997,0.566241413,0.239450442,0.228575804,0.433758587,0.494602552,0.55642787,0.079489696,0.14720314,0.095191364,0.021589794,0.100098135,0.418322831,0.200517046,0.111232812,0.330629461,0.963223155,Tony Blair
Blair,Tony,200,153554,1998,0.551654288,0.241503489,0.221328728,0.448345712,0.49966239,0.547602971,0.074949359,0.153274814,0.112086428,0.015530047,0.096556381,0.348991575,0.161943664,0.104662284,0.274360874,0.971284764,Tony Blair
Blair,Tony,200,145233,1999,0.53634277,0.24662076,0.202710612,0.46365723,0.628921194,0.519510329,0.047436878,0.201224178,0.098699311,0.019892884,0.113236419,0.302458548,0.126072041,0.096504839,0.272008325,0.97374988,Tony Blair
Blair,Tony,200,141072,2000,0.612076853,0.286672766,0.221500541,0.387923147,0.552607502,0.543458371,0.075937786,0.186642269,0.082342177,0.021957914,0.089661482,0.363636364,0.171336654,0.103573151,0.253890825,0.973703727,Tony Blair
Blair,Tony,200,117419,2001,0.610499577,0.28422241,0.244111357,0.389500423,0.509737511,0.564775614,0.062658764,0.177815411,0.095681626,0.022015241,0.077053345,0.370752195,0.176275932,0.104496308,0.310789474,0.967523647,Tony Blair
Blair,Tony,200,161163,2002,0.607378129,0.266359245,0.271439954,0.392621871,0.486166008,0.589591568,0.054677207,0.15942029,0.098155468,0.014492754,0.083662714,0.326441785,0.143543707,0.109484395,0.2922603,0.968002058,Tony Blair
Blair,Tony,200,162208,2003,0.603140614,0.258624792,0.263048266,0.396859386,0.458244111,0.586009993,0.070663812,0.144896502,0.094932191,0.019271949,0.084225553,0.348923731,0.154840996,0.114277181,0.271301317,0.96899645,Tony Blair
