lastname,firstname,Ccode,Word Count,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Kadar,Janos ,310,4929,0.59375,0.239583333,0.408789062,0.40625,0.25,0.6875,0.015625,0.09375,0.15625,0.015625,0.03125,0.361344538,0.168067227,0.107181696,0.349726776,0.962515691,Janos  Kadar
Khan,Yhya,770,4841,0.47826087,0.188405797,0.260491493,0.52173913,0.608695652,0.565217391,0,0.173913043,0.130434783,0,0.130434783,0.184210526,0.032894737,0.103531856,0.131428571,0.986392956,Yhya Khan
Krushchev,Nakita,365,6682,0.365853659,0.113821138,0.164782867,0.634146341,0.634146341,0.487804878,0.024390244,0.170731707,0.073170732,0.097560976,0.146341463,0.342995169,0.149758454,0.116992229,0.165322581,0.980658543,Nakita Krushchev
Kumaratunga,Chandrinka,780,178903,0.559352518,0.264688249,0.199395088,0.440647482,0.679856115,0.509892086,0.050359712,0.21942446,0.086330935,0.013489209,0.120503597,0.390950032,0.212166702,0.106291888,0.192554113,0.97953306,Chandrinka Kumaratunga
Lenin,Vladimir,365,43515,0.086419753,-0.053497942,0.122267947,0.913580247,1,0.345679012,0.00617284,0.191358025,0.12962963,0.018518519,0.308641975,0.021834061,-0.05705968,0.072107397,0.123947972,0.991062434,Vladimir Lenin
Lubumba,Patrice,490,5215,0.434782609,0.166666667,0.216257089,0.565217391,0.347826087,0.543478261,0.043478261,0.130434783,0.086956522,0.152173913,0.043478261,0.246753247,0.090909091,0.082543431,0.23,0.981015011,Patrice Lubumba
Marcos ,Ferdinand,840,86463,0.476861167,0.234741784,0.158446858,0.523138833,0.704225352,0.464788732,0.046277666,0.227364185,0.112676056,0.024144869,0.124748491,0.493044822,0.331616005,0.121810249,0.203855619,0.975168296,Ferdinand Marcos 
Mendes,Pierre ,220,18680,0.453125,0.177083333,0.190673828,0.546875,0.59375,0.515625,0.046875,0.1640625,0.109375,0.03125,0.1328125,0.407098121,0.212943633,0.114533148,0.210873147,0.975848035,Pierre  Mendes
Milosevic,Slobodan,345,32644,0.381642512,0.115942029,0.184092978,0.618357488,0.608695652,0.507246377,0.043478261,0.140096618,0.115942029,0.028985507,0.164251208,0.144876325,0.014134276,0.088011254,0.196022727,0.982747794,Slobodan Milosevic
Netanyahu,Benjamin,666,629561,0.540497618,0.252985119,0.194218756,0.459502382,0.535027351,0.519851773,0.074113287,0.176283748,0.112758073,0.02576319,0.091229928,0.265323618,0.102055396,0.091664754,0.257614329,0.976385846,Benjamin Netanyahu
Nimeiry,Gaafar,625,6985,0.75,0.416666667,0.2125,0.25,0.916666667,0.458333333,0.083333333,0.333333333,0,0,0.125,0.296442688,0.175230567,0.107438017,0.086642599,0.990691291,Gaafar Nimeiry
Nu,U,775,82180,0.54822335,0.223350254,0.223783143,0.45177665,0.629441624,0.543147208,0.045685279,0.185279188,0.060913706,0.035532995,0.129441624,0.279801325,0.081677704,0.122438983,0.140213523,0.982832399,U Nu
Olmert,Ehud,666,322236,0.52529511,0.235525576,0.182566138,0.47470489,0.484822934,0.515598651,0.09148398,0.155564924,0.102866779,0.047639123,0.086846543,0.370922168,0.186146074,0.093972168,0.233510534,0.978056509,Ehud Olmert
Putin ,Vladimir ,365,9434,0.76119403,0.298507463,0.416707507,0.23880597,0.328358209,0.701492537,0.074626866,0.104477612,0.029850746,0.029850746,0.059701493,0.472340426,0.253900709,0.094062472,0.221854305,0.979131836,Vladimir  Putin 
Rajapaska ,Mahinda,780,18442,0.693989071,0.380692168,0.159652423,0.306010929,0.579234973,0.464480874,0.158469945,0.224043716,0.06010929,0.027322404,0.06557377,0.571428571,0.351020408,0.115198667,0.27191679,0.968675548,Mahinda Rajapaska 
Ramos,Fidel,840,20961,0.471502591,0.250431779,0.149829526,0.528497409,0.766839378,0.440414508,0.03626943,0.259067358,0.113989637,0.025906736,0.124352332,0.515981735,0.315068493,0.151410521,0.305863708,0.953689017,Fidel Ramos
Sadat,Anwar,651,52049,0.267108168,0.098601913,0.135651945,0.732891832,0.534216336,0.450331126,0.039735099,0.143487859,0.19205298,0.050772627,0.123620309,0.180507893,0.036376115,0.096802081,0.237172775,0.977041182,Anwar Sadat
