lastname,firstname,Ccode,Word Count,year,quarter,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
al-Assad,Bashar,652,17226,2011,1,0.24137931,0.045977011,0.168846611,0.75862069,0.689655172,0.465517241,0.00862069,0.146551724,0.172413793,0.00862069,0.198275862,0.226600985,0.08456486,0.11570288,0.222222222,0.974288249,Bashar al-Assad
al-Assad,Bashar,652,6274,2011,2,0.333333333,0.209876543,0.117695473,0.666666667,0.592592593,0.388888889,0.074074074,0.203703704,0.240740741,0,0.092592593,0.540372671,0.35610766,0.1246634,0.251162791,0.968689192,Bashar al-Assad
al-Assad,Bashar,652,5702,2011,4,0.714285714,0.428571429,0.283673469,0.285714286,0.714285714,0.535714286,0,0.321428571,0.107142857,0,0.035714286,-0.109243697,-0.207282913,0.164804745,0.19047619,0.96860862,Bashar al-Assad
al-Assad,Bashar,652,9694,2012,2,0.411764706,0.169934641,0.137254902,0.588235294,0.62745098,0.450980392,0.098039216,0.156862745,0.137254902,0,0.156862745,0.176470588,0.103199174,0.077510568,0.136363636,0.989430377,Bashar al-Assad
Andropov,Yurii,365,5248,1983,1,0.081081081,0.009009009,0.097151205,0.918918919,0.378378378,0.378378378,0.081081081,0.081081081,0.27027027,0.081081081,0.108108108,0.261538462,0.115384615,0.129325444,0.221556886,0.971347057,Yurii Andropov
Aquino,Corazon,840,4115,1988,3,0.384615385,0.239316239,0.165285996,0.615384615,0.666666667,0.435897436,0,0.256410256,0.205128205,0.025641026,0.076923077,0.302325581,0.124031008,0.129042726,0.312,0.95973867,Corazon Aquino
Aquino,Corazon,840,6298,1990,3,0.523809524,0.273809524,0.136054422,0.476190476,0.833333333,0.416666667,0.083333333,0.261904762,0.083333333,0,0.154761905,0.470588235,0.286764706,0.1691609,0.381818182,0.935411293,Corazon Aquino
Aquino,Corazon,840,4062,1991,3,0.071428571,-0.035714286,0.103061224,0.928571429,1,0.321428571,0,0.214285714,0.142857143,0.035714286,0.285714286,0.032786885,-0.005464481,0.077183553,0.186666667,0.985592403,Corazon Aquino
Arroyo,Gloria,840,4994,2001,3,0.545454545,0.272727273,0.095041322,0.454545455,0.545454545,0.386363636,0.204545455,0.181818182,0.022727273,0.113636364,0.090909091,0.294117647,0.133986928,0.089504037,0.301369863,0.973026181,Gloria Arroyo
Arroyo,Gloria,840,4103,2002,3,0.435897436,0.213675214,0.149506903,0.564102564,0.820512821,0.435897436,0.025641026,0.256410256,0.102564103,0.025641026,0.153846154,0.037974684,-0.097046414,0.146675212,0.330508475,0.951522599,Gloria Arroyo
Arthur,Chester,2,13545,1881,4,0.824561404,0.32748538,0.538319483,0.175438596,0.350877193,0.771929825,0.01754386,0.122807018,0.035087719,0,0.052631579,0.390625,0.147569444,0.162711589,0.129251701,0.97896925,Chester Arthur
Arthur,Chester,2,9919,1882,4,0.75,0.3125,0.442708333,0.25,0.458333333,0.708333333,0,0.166666667,0.041666667,0.020833333,0.0625,0.474103586,0.197875166,0.169270329,0.160535117,0.972826168,Chester Arthur
Arthur,Chester,2,7963,1883,4,0.793103448,0.356321839,0.472057075,0.206896552,0.413793103,0.724137931,0,0.172413793,0.068965517,0,0.034482759,0.444839858,0.18742586,0.156272084,0.093548387,0.985380999,Chester Arthur
Arthur,Chester,2,8718,1884,4,0.837837838,0.351351351,0.489846603,0.162162162,0.540540541,0.72972973,0,0.189189189,0,0,0.081081081,0.52851711,0.261089987,0.171628909,0.123333333,0.978832435,Chester Arthur
