lastname,firstname,Ccode,Word Count,year,month,distrust,task,bace,igb,sc,cc,power,name
Bush,GeorgeH.W.,2,50509,1991,3,0.126369613,0.458638154,0.345520082,0.157585918,0.46141607,0.573895716,0.227921735,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,50567,1991,4,0.110707804,0.506043956,0.347951807,0.167056987,0.437060203,0.59288674,0.289911851,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,53900,1991,5,0.130681818,0.540339703,0.343696028,0.132262997,0.359671302,0.587475791,0.259555556,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,61513,1991,6,0.112602535,0.551774429,0.348460292,0.118763176,0.368949233,0.568955732,0.249271744,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,82679,1991,7,0.104513064,0.536609829,0.322551929,0.127894737,0.459886015,0.615444015,0.239488117,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,42841,1991,8,0.136321195,0.510810811,0.328072153,0.135102533,0.483639266,0.613475177,0.248847926,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,62497,1991,9,0.089063523,0.530612245,0.312964492,0.13212609,0.405071521,0.568853844,0.273297117,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,84216,1992,1,0.102919347,0.543429844,0.359461831,0.138343705,0.389420885,0.578970524,0.276614833,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,166713,1992,10,0.136068146,0.484191509,0.375810811,0.152346967,0.440406977,0.636373472,0.334631974,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,22666,1992,11,0.097744361,0.460772105,0.424437299,0.20626151,0.356877323,0.575,0.342251951,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,16750,1992,12,0.122762148,0.448613377,0.333889816,0.179104478,0.36461126,0.500558659,0.287878788,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,78369,1992,2,0.1128943,0.579580612,0.384457478,0.135258359,0.418095238,0.574262216,0.318536293,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,79757,1992,3,0.123052123,0.544112478,0.385855728,0.176702863,0.374519025,0.546846435,0.315729047,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,71455,1992,4,0.113661814,0.560882801,0.377125193,0.140137493,0.404181185,0.572401615,0.308330043,GeorgeH.W. Bush
Bush,GeorgeH.W.,2,92633,1992,5,0.128603104,0.511648746,0.333755061,0.142306044,0.423944239,0.581705485,0.289329507,GeorgeH.W. Bush
