lastname,firstname,Ccode,Word Count,year,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Baldwin,Stanley,200,32659,1937,0.6492891,0.298578199,0.300932144,0.3507109,0.521327014,0.606635071,0.028436019,0.18957346,0.085308057,0.018957346,0.071090047,0.445920304,0.20683112,0.148136493,0.285907859,0.957646613,Stanley Baldwin
Blair,Tony,200,93497,1997,0.566241413,0.239450442,0.228575804,0.433758587,0.494602552,0.55642787,0.079489696,0.14720314,0.095191364,0.021589794,0.100098135,0.418322831,0.200517046,0.111232812,0.330629461,0.963223155,Tony Blair
Blair,Tony,200,153554,1998,0.551654288,0.241503489,0.221328728,0.448345712,0.49966239,0.547602971,0.074949359,0.153274814,0.112086428,0.015530047,0.096556381,0.348991575,0.161943664,0.104662284,0.274360874,0.971284764,Tony Blair
Blair,Tony,200,145233,1999,0.53634277,0.24662076,0.202710612,0.46365723,0.628921194,0.519510329,0.047436878,0.201224178,0.098699311,0.019892884,0.113236419,0.302458548,0.126072041,0.096504839,0.272008325,0.97374988,Tony Blair
Blair,Tony,200,141072,2000,0.612076853,0.286672766,0.221500541,0.387923147,0.552607502,0.543458371,0.075937786,0.186642269,0.082342177,0.021957914,0.089661482,0.363636364,0.171336654,0.103573151,0.253890825,0.973703727,Tony Blair
Blair,Tony,200,117419,2001,0.610499577,0.28422241,0.244111357,0.389500423,0.509737511,0.564775614,0.062658764,0.177815411,0.095681626,0.022015241,0.077053345,0.370752195,0.176275932,0.104496308,0.310789474,0.967523647,Tony Blair
Blair,Tony,200,161163,2002,0.607378129,0.266359245,0.271439954,0.392621871,0.486166008,0.589591568,0.054677207,0.15942029,0.098155468,0.014492754,0.083662714,0.326441785,0.143543707,0.109484395,0.2922603,0.968002058,Tony Blair
Blair,Tony,200,162208,2003,0.603140614,0.258624792,0.263048266,0.396859386,0.458244111,0.586009993,0.070663812,0.144896502,0.094932191,0.019271949,0.084225553,0.348923731,0.154840996,0.114277181,0.271301317,0.96899645,Tony Blair
Blair,Tony,200,124613,2004,0.564144737,0.229714912,0.26750184,0.435855263,0.430921053,0.590460526,0.064144737,0.127467105,0.111842105,0.018092105,0.087993421,0.331468531,0.138461538,0.120995452,0.298331698,0.963903221,Tony Blair
Blair,Tony,200,13024,2005,0.357142857,0.182539683,0.118027211,0.642857143,0.80952381,0.392857143,0.047619048,0.238095238,0.154761905,0,0.166666667,0.43373494,0.246987952,0.12652054,0.201923077,0.974452583,Tony Blair
Blair,Tony,200,6665,2006,0.6,0.314285714,0.141877551,0.4,0.571428571,0.457142857,0.142857143,0.2,0.085714286,0.028571429,0.085714286,0.409638554,0.236947791,0.087850196,0.174129353,0.984702702,Tony Blair
Callaghan,James,200,103753,1976,0.700223714,0.292692021,0.376538594,0.299776286,0.418344519,0.670022371,0.03803132,0.142058166,0.072706935,0.010067114,0.067114094,0.421284944,0.21088769,0.122331216,0.304807364,0.962712544,James Callaghan
Callaghan,James,200,117258,1977,0.697297297,0.330630631,0.322954955,0.302702703,0.468468468,0.624324324,0.041441441,0.182882883,0.09009009,0.00990991,0.051351351,0.445471349,0.226432532,0.139152183,0.33903482,0.952822565,James Callaghan
Callaghan,James,200,137667,1978,0.630084421,0.266308519,0.333404877,0.369915579,0.405218726,0.639293937,0.037605526,0.138142748,0.10437452,0.016116654,0.064466616,0.436728395,0.218235597,0.135867484,0.334531451,0.954548053,James Callaghan
Callaghan,James,200,59188,1979,0.68,0.310666667,0.355936,0.32,0.384,0.652,0.034,0.154,0.108,0.014,0.038,0.344992051,0.174880763,0.104247032,0.284414107,0.970350673,James Callaghan
Campbell,Henry,200,56705,1906,0.601286174,0.287245445,0.253779427,0.398713826,0.495176849,0.569131833,0.054662379,0.176848875,0.122186495,0.006430868,0.07073955,0.413357401,0.193441637,0.145458041,0.219168428,0.96812019,Henry Campbell
Campbell,Henry,200,52785,1907,0.679012346,0.298353909,0.313763146,0.320987654,0.50617284,0.62037037,0.049382716,0.169753086,0.070987654,0.00617284,0.083333333,0.457114026,0.247225025,0.135008212,0.246387833,0.966735619,Henry Campbell
Cecil,Robert,200,16047,1885,0.431818182,0.151515152,0.297727273,0.568181818,0.386363636,0.602272727,0.011363636,0.102272727,0.181818182,0.011363636,0.090909091,0.345454545,0.161616162,0.104484848,0.210526316,0.97800319,Robert Cecil
Cecil,Robert,200,13508,1886,0.642857143,0.337301587,0.267687075,0.357142857,0.5,0.571428571,0.035714286,0.214285714,0.119047619,0.023809524,0.035714286,0.261410788,0.10373444,0.087990909,0.258461538,0.977257734,Robert Cecil
Cecil,Robert,200,21971,1887,0.582733813,0.263788969,0.268485068,0.417266187,0.503597122,0.582733813,0.035971223,0.172661871,0.115107914,0.014388489,0.079136691,0.294871795,0.117521368,0.107254,0.228995058,0.975439364,Robert Cecil
Cecil,Robert,200,46594,1888,0.398601399,0.15967366,0.219521737,0.601398601,0.440559441,0.534965035,0.041958042,0.122377622,0.192307692,0.01048951,0.097902098,0.19509476,0.063173541,0.097558193,0.241758242,0.976414503,Robert Cecil
Cecil,Robert,200,29436,1889,0.466666667,0.176068376,0.252512821,0.533333333,0.441025641,0.574358974,0.035897436,0.123076923,0.143589744,0.025641026,0.097435897,0.16460177,0.035988201,0.0917779,0.256578947,0.976451723,Robert Cecil
Cecil,Robert,200,35869,1891,0.575,0.248611111,0.319333333,0.425,0.466666667,0.620833333,0.004166667,0.1625,0.125,0.016666667,0.070833333,0.288515406,0.131185808,0.09434362,0.251572327,0.976265756,Robert Cecil
Cecil,Robert,200,22571,1896,0.483443709,0.158940397,0.287504934,0.516556291,0.38410596,0.609271523,0.033112583,0.099337748,0.112582781,0.052980132,0.092715232,0.228571429,0.060544218,0.115688463,0.235569423,0.972747336,Robert Cecil
Cecil,Robert,200,21793,1898,0.413533835,0.140350877,0.247125332,0.586466165,0.37593985,0.571428571,0.037593985,0.097744361,0.157894737,0.045112782,0.090225564,0.341067285,0.156225831,0.117640409,0.235815603,0.972258556,Robert Cecil
Cecil,Robert,200,24044,1900,0.29281768,0.106813996,0.194969629,0.70718232,0.464088398,0.497237569,0.033149171,0.116022099,0.232044199,0.005524862,0.116022099,0.262729124,0.092328581,0.11531477,0.269345238,0.968940516,Robert Cecil
Cecil,Robert,200,23711,1901,0.244094488,0.097112861,0.123268647,0.755905512,0.551181102,0.417322835,0.070866142,0.133858268,0.228346457,0.007874016,0.141732283,0.215932914,0.060796646,0.097071582,0.210264901,0.979589253,Robert Cecil
Cecil,Robert,200,13509,1902,0.4,0.163333333,0.19888,0.6,0.62,0.51,0.01,0.18,0.15,0.02,0.13,0.333333333,0.137777778,0.1252,0.25,0.9687,Robert Cecil
Chamberlain,Neville,200,37600,1937,0.595505618,0.290262172,0.259638934,0.404494382,0.550561798,0.56741573,0.028089888,0.202247191,0.117977528,0.011235955,0.073033708,0.474285714,0.27047619,0.127193469,0.202733485,0.974213625,Neville Chamberlain
Chamberlain,Neville,200,165217,1938,0.54618016,0.258076777,0.225831818,0.45381984,0.563283922,0.541619156,0.03990878,0.191562144,0.122006842,0.014823261,0.090079818,0.423678772,0.1928944,0.142241933,0.205675422,0.97074433,Neville Chamberlain
Chamberlain,Neville,200,163240,1939,0.598130841,0.291277259,0.243639182,0.401869159,0.630841121,0.549065421,0.02453271,0.22546729,0.091121495,0.019859813,0.089953271,0.358614512,0.169602867,0.106381506,0.203567182,0.978344217,Neville Chamberlain
Chamberlain,Neville,200,50065,1940,0.442508711,0.199767712,0.158023043,0.557491289,0.710801394,0.466898955,0.041811847,0.212543554,0.111498258,0.024390244,0.142857143,0.284013605,0.10175737,0.104397473,0.196172249,0.979520113,Neville Chamberlain
Churchill,Winston,200,27616,1951,0.647058824,0.282352941,0.294615917,0.352941176,0.517647059,0.605882353,0.047058824,0.170588235,0.076470588,0.011764706,0.088235294,0.379876797,0.171115674,0.128014201,0.258751903,0.966876082,Winston Churchill
Churchill,Winston,200,91955,1952,0.561694291,0.262124002,0.212616627,0.438305709,0.5893186,0.532228361,0.047882136,0.200736648,0.08839779,0.036832413,0.093922652,0.36806342,0.165911665,0.126478634,0.235166739,0.970256432,Winston Churchill
Churchill,Winston,200,55955,1953,0.584352078,0.248573757,0.290778989,0.415647922,0.479217604,0.60391198,0.031784841,0.156479218,0.107579462,0.017114914,0.083129584,0.403065825,0.194770063,0.139309901,0.269433465,0.962465251,Winston Churchill
Churchill,Winston,200,60050,1954,0.625,0.28125,0.252479339,0.375,0.539772727,0.571022727,0.065340909,0.176136364,0.082386364,0.011363636,0.09375,0.318815331,0.117886179,0.128698297,0.234666667,0.9697988,Winston Churchill
Churchill,Winston,200,17119,1955,0.5,0.261904762,0.205782313,0.5,0.571428571,0.511904762,0.023809524,0.214285714,0.154761905,0.023809524,0.071428571,0.294832827,0.159067882,0.10093957,0.203389831,0.979469918,Winston Churchill
Disraeli,Benjamin,200,79939,1868,0.52310536,0.216882317,0.25880532,0.47689464,0.436229205,0.580406654,0.046210721,0.134935305,0.133086876,0.022181146,0.083179298,0.342482845,0.145352464,0.144702248,0.25233209,0.963486979,Benjamin Disraeli
Disraeli,Benjamin,200,54620,1874,0.563218391,0.225095785,0.284799841,0.436781609,0.442528736,0.603448276,0.045977011,0.132183908,0.109195402,0.020114943,0.08908046,0.377855888,0.166666667,0.133030847,0.234185734,0.968846074,Benjamin Disraeli
