lastname,firstname,Ccode,Word Count,year,month,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
al-Assad,Bashar,652,7620,2000,7,0.4375,0.177083333,0.2171875,0.5625,0.59375,0.53125,0.015625,0.171875,0.140625,0.015625,0.125,0.549450549,0.34981685,0.143219418,0.260162602,0.962739664,Bashar al-Assad
al-Assad,Bashar,652,10449,2005,11,0.290322581,0.150537634,0.152133195,0.709677419,0.580645161,0.435483871,0.032258065,0.177419355,0.241935484,0,0.112903226,0.183006536,0.092592593,0.096629501,0.168478261,0.98372003,Bashar al-Assad
al-Assad,Bashar,652,4846,2006,1,0.368421053,0.245614035,0.15567867,0.631578947,0.526315789,0.421052632,0.052631579,0.210526316,0.263157895,0,0.052631579,-0.025974026,-0.095238095,0.07120931,0.10982659,0.992179324,Bashar al-Assad
al-Assad,Bashar,652,8228,2006,8,0.380952381,0.222222222,0.11292517,0.619047619,0.619047619,0.404761905,0.071428571,0.214285714,0.19047619,0.023809524,0.095238095,-0.04,-0.140740741,0.106038519,0.157303371,0.983319784,Bashar al-Assad
al-Assad,Bashar,652,10626,2010,5,0.545454545,0.171717172,0.392837466,0.454545455,0.333333333,0.681818182,0.015151515,0.075757576,0.121212121,0.015151515,0.090909091,0.244094488,0.069553806,0.133870668,0.20625,0.972389175,Bashar al-Assad
al-Assad,Bashar,652,11706,2011,1,0.386666667,0.115555556,0.205973333,0.613333333,0.746666667,0.506666667,0.013333333,0.173333333,0.106666667,0,0.2,0.405204461,0.173482032,0.19861804,0.218023256,0.956696648,Bashar al-Assad
al-Assad,Bashar,652,5702,2011,12,0.714285714,0.428571429,0.283673469,0.285714286,0.714285714,0.535714286,0,0.321428571,0.107142857,0,0.035714286,-0.109243697,-0.207282913,0.164804745,0.19047619,0.96860862,Bashar al-Assad
al-Assad,Bashar,652,5520,2011,3,-0.024390244,-0.081300813,0.143367043,0.975609756,0.585365854,0.390243902,0,0.097560976,0.292682927,0.024390244,0.195121951,-0.124087591,-0.090024331,0.065650807,0.230337079,0.984878185,Bashar al-Assad
al-Assad,Bashar,652,6274,2011,4,0.333333333,0.209876543,0.117695473,0.666666667,0.592592593,0.388888889,0.074074074,0.203703704,0.240740741,0,0.092592593,0.540372671,0.35610766,0.1246634,0.251162791,0.968689192,Bashar al-Assad
al-Assad,Bashar,652,9694,2012,6,0.411764706,0.169934641,0.137254902,0.588235294,0.62745098,0.450980392,0.098039216,0.156862745,0.137254902,0,0.156862745,0.176470588,0.103199174,0.077510568,0.136363636,0.989430377,Bashar al-Assad
Andropov,Yurii,365,5248,1983,3,0.081081081,0.009009009,0.097151205,0.918918919,0.378378378,0.378378378,0.081081081,0.081081081,0.27027027,0.081081081,0.108108108,0.261538462,0.115384615,0.129325444,0.221556886,0.971347057,Yurii Andropov
Aquino,Corazon,840,4115,1988,7,0.384615385,0.239316239,0.165285996,0.615384615,0.666666667,0.435897436,0,0.256410256,0.205128205,0.025641026,0.076923077,0.302325581,0.124031008,0.129042726,0.312,0.95973867,Corazon Aquino
Aquino,Corazon,840,6298,1990,7,0.523809524,0.273809524,0.136054422,0.476190476,0.833333333,0.416666667,0.083333333,0.261904762,0.083333333,0,0.154761905,0.470588235,0.286764706,0.1691609,0.381818182,0.935411293,Corazon Aquino
