lastname,firstname,Ccode,Word Count,year,quarter,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Castro,Fidel,40,121984,1971,4,0.35395189,0.160366552,0.145612357,0.64604811,0.611683849,0.453608247,0.046391753,0.176975945,0.178694158,0.015463918,0.128865979,0.091164885,-0.020634027,0.095812275,0.140715667,0.986517712,Fidel Castro
Castro,Fidel,40,54466,1972,2,0.431906615,0.221789883,0.116946509,0.568093385,0.645914397,0.428015564,0.070038911,0.217898833,0.116731518,0.062256809,0.105058366,0.101078167,-0.002920036,0.091256602,0.147616312,0.986529037,Fidel Castro
Castro,Fidel,40,29629,1972,3,0.527950311,0.273291925,0.178827977,0.472049689,0.757763975,0.472049689,0.02484472,0.267080745,0.080745342,0.043478261,0.111801242,0.193758127,0.061985262,0.0904642,0.17311828,0.984338993,Fidel Castro
Castro,Fidel,40,11581,1973,1,0.68627451,0.326797386,0.297808535,0.31372549,0.666666667,0.588235294,0.019607843,0.235294118,0.058823529,0,0.098039216,0.397993311,0.208472687,0.10108388,0.145714286,0.985270635,Fidel Castro
Castro,Fidel,40,22449,1973,2,0.185185185,-0.037037037,0.172016461,0.814814815,0.62962963,0.481481481,0.018518519,0.092592593,0.12962963,0.055555556,0.222222222,0.079575597,-0.033598585,0.099774149,0.066831683,0.993331926,Fidel Castro
Castro,Fidel,40,36637,1973,3,0.300613497,0.083844581,0.100395197,0.699386503,0.63803681,0.411042945,0.110429448,0.128834356,0.122699387,0.036809816,0.190184049,-0.118902439,-0.15675813,0.101192092,0.110508475,0.988817416,Fidel Castro
Castro,Fidel,40,23929,1973,4,0.488721805,0.295739348,0.127457742,0.511278195,0.736842105,0.406015038,0.067669173,0.270676692,0.142857143,0.015037594,0.097744361,0.422740525,0.24101069,0.104051883,0.162393162,0.983102686,Fidel Castro
Castro,Fidel,40,18862,1974,1,0.142857143,0.091269841,0.063945578,0.857142857,0.952380952,0.261904762,0.035714286,0.273809524,0.178571429,0.047619048,0.202380952,-0.030995106,-0.082653616,0.105935828,0.120516499,0.987232985,Fidel Castro
Castro,Fidel,40,4510,1974,2,0.454545455,0.287878788,0.152066116,0.545454545,1,0.363636364,0,0.363636364,0.090909091,0.045454545,0.136363636,-0.137254902,-0.148148148,0.090298603,0.125714286,0.988648176,Fidel Castro
Castro,Fidel,40,23916,1974,3,0.428571429,0.212121212,0.173013999,0.571428571,0.441558442,0.493506494,0.064935065,0.155844156,0.181818182,0.038961039,0.064935065,0.366500829,0.1973466,0.100880341,0.113235294,0.988576785,Fidel Castro
Castro,Fidel,40,20412,1974,4,0.486486486,0.184684685,0.200146092,0.513513514,0.594594595,0.527027027,0.054054054,0.162162162,0.081081081,0.040540541,0.135135135,0.310714286,0.179761905,0.108387755,0.116719243,0.987349063,Fidel Castro
Castro,Fidel,40,5159,1975,1,0.333333333,0.148148148,0.125925926,0.666666667,0.555555556,0.444444444,0.055555556,0.166666667,0.166666667,0.055555556,0.111111111,-0.034090909,-0.107954545,0.087293388,0.092783505,0.991900613,Fidel Castro
Castro,Fidel,40,5357,1975,2,0.333333333,0.092592593,0.148148148,0.666666667,0.777777778,0.444444444,0.055555556,0.166666667,0.111111111,0,0.222222222,0.126582278,0.004219409,0.076974844,0.102272727,0.992127573,Fidel Castro
Castro,Fidel,40,19825,1975,3,0.595505618,0.310861423,0.150713294,0.404494382,0.494382022,0.471910112,0.146067416,0.179775281,0.101123596,0.033707865,0.06741573,0.546218487,0.37745098,0.134700939,0.157522124,0.978781622,Fidel Castro
