lastname,firstname,Ccode,Word Count,year,month,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Asquith,Herbert,200,24521,1911,2,0.561290323,0.247311828,0.247883455,0.438709677,0.580645161,0.561290323,0.038709677,0.180645161,0.109677419,0,0.109677419,0.403361345,0.191176471,0.160419462,0.245641838,0.960594268,Herbert Asquith
Asquith,Herbert,200,14930,1911,3,0.492063492,0.275132275,0.133333333,0.507936508,0.650793651,0.436507937,0.063492063,0.246031746,0.111111111,0.063492063,0.079365079,0.355102041,0.117006803,0.145196168,0.339622642,0.950688094,Herbert Asquith
Asquith,Herbert,200,33598,1911,4,0.452830189,0.201257862,0.197775009,0.547169811,0.537735849,0.518867925,0.037735849,0.169811321,0.146226415,0.028301887,0.099056604,0.273021002,0.107162089,0.132084946,0.25511432,0.966303239,Herbert Asquith
Asquith,Herbert,200,11998,1911,5,0.704545455,0.318181818,0.294318182,0.295454545,0.545454545,0.602272727,0.068181818,0.181818182,0.056818182,0,0.090909091,0.455319149,0.225531915,0.152644636,0.27244582,0.958412607,Herbert Asquith
Asquith,Herbert,200,6501,1911,7,0.818181818,0.431818182,0.367768595,0.181818182,0.545454545,0.636363636,0.022727273,0.25,0.068181818,0,0.022727273,0.310344828,0.108045977,0.143305589,0.232804233,0.966637852,Herbert Asquith
Asquith,Herbert,200,5740,1911,8,0.658536585,0.325203252,0.227602617,0.341463415,0.634146341,0.536585366,0.073170732,0.219512195,0.073170732,0,0.097560976,0.472222222,0.24537037,0.194907407,0.221621622,0.956804304,Herbert Asquith
Asquith,Herbert,200,18985,1912,10,0.71641791,0.343283582,0.290398753,0.28358209,0.611940299,0.589552239,0.044776119,0.223880597,0.044776119,0.014925373,0.082089552,0.606469003,0.267744834,0.243056938,0.265346535,0.935505684,Herbert Asquith
Asquith,Herbert,200,22272,1912,11,0.668789809,0.350318471,0.281139194,0.331210191,0.522292994,0.579617834,0.038216561,0.21656051,0.121019108,0,0.044585987,0.347480106,0.167108753,0.119188906,0.294007491,0.964957569,Herbert Asquith
Asquith,Herbert,200,15530,1912,12,0.648,0.301333333,0.2862208,0.352,0.464,0.6,0.048,0.176,0.088,0.032,0.056,0.598726115,0.331210191,0.176980811,0.284738041,0.949606831,Herbert Asquith
Asquith,Herbert,200,8657,1912,2,0.490196078,0.169934641,0.325490196,0.509803922,0.392156863,0.62745098,0.019607843,0.098039216,0.156862745,0,0.098039216,0.388535032,0.174097665,0.160793541,0.245192308,0.960574661,Herbert Asquith
